"ID","budburst","bbch.first","leafout","bbch.last","species","individ","bud","TX","burst","total","burst.perc","perc"
"BETPAP_G01_1",93,"9",101,"14","BETPAP","BETPAP_G01","1","A",0,24,16,0.666666666666667
"BETPAP_G01_10",101,"10",101,"10","BETPAP","BETPAP_G01","10","A",0,24,16,0.666666666666667
"BETPAP_G01_11",93,"9",101,"14","BETPAP","BETPAP_G01","11","A",0,24,16,0.666666666666667
"BETPAP_G01_12",93,"9",101,"15","BETPAP","BETPAP_G01","12","A",1,24,16,0.666666666666667
"BETPAP_G01_13",101,"14",101,"14","BETPAP","BETPAP_G01","13","A",0,24,16,0.666666666666667
"BETPAP_G01_14",101,"9",101,"9","BETPAP","BETPAP_G01","14","A",1,24,16,0.666666666666667
"BETPAP_G01_15",101,"9",101,"9","BETPAP","BETPAP_G01","15","A",1,24,16,0.666666666666667
"BETPAP_G01_16",93,"12",101,"15","BETPAP","BETPAP_G01","16","A",1,24,16,0.666666666666667
"BETPAP_G01_17",93,"10",101,"15","BETPAP","BETPAP_G01","17","A",1,24,16,0.666666666666667
"BETPAP_G01_18",101,"10",101,"10","BETPAP","BETPAP_G01","18","A",0,24,16,0.666666666666667
"BETPAP_G01_19",88,"14",93,"15","BETPAP","BETPAP_G01","19","A",1,24,16,0.666666666666667
"BETPAP_G01_2",101,"14",101,"14","BETPAP","BETPAP_G01","2","A",0,24,16,0.666666666666667
"BETPAP_G01_20",88,"11",93,"15","BETPAP","BETPAP_G01","20","A",1,24,16,0.666666666666667
"BETPAP_G01_21",88,"13",93,"15","BETPAP","BETPAP_G01","21","A",1,24,16,0.666666666666667
"BETPAP_G01_23",101,"10",101,"10","BETPAP","BETPAP_G01","23","A",0,24,16,0.666666666666667
"BETPAP_G01_24",101,"9",101,"9","BETPAP","BETPAP_G01","24","A",1,24,16,0.666666666666667
"BETPAP_G01_25",101,"14",101,"14","BETPAP","BETPAP_G01","25","A",0,24,16,0.666666666666667
"BETPAP_G01_3",93,"12",101,"15","BETPAP","BETPAP_G01","3","A",1,24,16,0.666666666666667
"BETPAP_G01_4",88,"10",93,"15","BETPAP","BETPAP_G01","4","A",1,24,16,0.666666666666667
"BETPAP_G01_5",88,"13",93,"15","BETPAP","BETPAP_G01","5","A",1,24,16,0.666666666666667
"BETPAP_G01_6",88,"14",93,"15","BETPAP","BETPAP_G01","6","A",1,24,16,0.666666666666667
"BETPAP_G01_7",83,"10",93,"15","BETPAP","BETPAP_G01","7","A",1,24,16,0.666666666666667
"BETPAP_G01_8",83,"10",93,"15","BETPAP","BETPAP_G01","8","A",1,24,16,0.666666666666667
"BETPAP_G01_9",88,"13",93,"15","BETPAP","BETPAP_G01","9","A",1,24,16,0.666666666666667
"BETPAP_G02_1",88,"10",93,"15","BETPAP","BETPAP_G02","1","B",1,21,14,0.666666666666667
"BETPAP_G02_10",83,"13",88,"15","BETPAP","BETPAP_G02","10","B",1,21,14,0.666666666666667
"BETPAP_G02_11",88,"12",93,"15","BETPAP","BETPAP_G02","11","B",1,21,14,0.666666666666667
"BETPAP_G02_12",83,"9",93,"15","BETPAP","BETPAP_G02","12","B",1,21,14,0.666666666666667
"BETPAP_G02_13",83,"9",93,"15","BETPAP","BETPAP_G02","13","B",1,21,14,0.666666666666667
"BETPAP_G02_14",83,"10",88,"15","BETPAP","BETPAP_G02","14","B",1,21,14,0.666666666666667
"BETPAP_G02_16",101,"12",101,"12","BETPAP","BETPAP_G02","16","B",0,21,14,0.666666666666667
"BETPAP_G02_17",101,"9",101,"9","BETPAP","BETPAP_G02","17","B",1,21,14,0.666666666666667
"BETPAP_G02_18",93,"13",101,"15","BETPAP","BETPAP_G02","18","B",1,21,14,0.666666666666667
"BETPAP_G02_19",93,"12",101,"15","BETPAP","BETPAP_G02","19","B",1,21,14,0.666666666666667
"BETPAP_G02_2",101,"10",101,"10","BETPAP","BETPAP_G02","2","B",0,21,14,0.666666666666667
"BETPAP_G02_20",101,"10",101,"10","BETPAP","BETPAP_G02","20","B",0,21,14,0.666666666666667
"BETPAP_G02_21",101,"9",101,"9","BETPAP","BETPAP_G02","21","B",1,21,14,0.666666666666667
"BETPAP_G02_22",101,"9",101,"9","BETPAP","BETPAP_G02","22","B",1,21,14,0.666666666666667
"BETPAP_G02_23",101,"9",101,"9","BETPAP","BETPAP_G02","23","B",1,21,14,0.666666666666667
"BETPAP_G02_3",83,"9",101,"0","BETPAP","BETPAP_G02","3","B",0,21,14,0.666666666666667
"BETPAP_G02_4",80,"9",101,"0","BETPAP","BETPAP_G02","4","B",0,21,14,0.666666666666667
"BETPAP_G02_5",83,"9",101,"10","BETPAP","BETPAP_G02","5","B",0,21,14,0.666666666666667
"BETPAP_G02_6",80,"9",101,"15","BETPAP","BETPAP_G02","6","B",1,21,14,0.666666666666667
"BETPAP_G02_7",80,"9",101,"13","BETPAP","BETPAP_G02","7","B",0,21,14,0.666666666666667
"BETPAP_G02_8",83,"11",88,"15","BETPAP","BETPAP_G02","8","B",1,21,14,0.666666666666667
"BETPAP_G03_1",109,"13",112,"15","BETPAP","BETPAP_G03","1","A",1,18,17,0.944444444444444
"BETPAP_G03_10",109,"13",112,"15","BETPAP","BETPAP_G03","10","A",1,18,17,0.944444444444444
"BETPAP_G03_11",105,"13",109,"15","BETPAP","BETPAP_G03","11","A",1,18,17,0.944444444444444
"BETPAP_G03_12",105,"9",109,"15","BETPAP","BETPAP_G03","12","A",1,18,17,0.944444444444444
"BETPAP_G03_13",109,"15",109,"15","BETPAP","BETPAP_G03","13","A",1,18,17,0.944444444444444
"BETPAP_G03_14",109,"14",112,"15","BETPAP","BETPAP_G03","14","A",1,18,17,0.944444444444444
"BETPAP_G03_15",93,"9",105,"15","BETPAP","BETPAP_G03","15","A",1,18,17,0.944444444444444
"BETPAP_G03_16",93,"13",105,"15","BETPAP","BETPAP_G03","16","A",1,18,17,0.944444444444444
"BETPAP_G03_17",93,"9",109,"15","BETPAP","BETPAP_G03","17","A",1,18,17,0.944444444444444
"BETPAP_G03_18",105,"9",109,"15","BETPAP","BETPAP_G03","18","A",1,18,17,0.944444444444444
"BETPAP_G03_2",115,"9",126,"15","BETPAP","BETPAP_G03","2","A",1,18,17,0.944444444444444
"BETPAP_G03_3",109,"9",112,"15","BETPAP","BETPAP_G03","3","A",1,18,17,0.944444444444444
"BETPAP_G03_4",115,"9",130,"9","BETPAP","BETPAP_G03","4","A",1,18,17,0.944444444444444
"BETPAP_G03_5",126,"9",130,"9","BETPAP","BETPAP_G03","5","A",1,18,17,0.944444444444444
"BETPAP_G03_6",130,"9",130,"9","BETPAP","BETPAP_G03","6","A",1,18,17,0.944444444444444
"BETPAP_G03_7",109,"14",112,"15","BETPAP","BETPAP_G03","7","A",1,18,17,0.944444444444444
"BETPAP_G03_8",126,"13",130,"14","BETPAP","BETPAP_G03","8","A",0,18,17,0.944444444444444
"BETPAP_G03_9",105,"13",109,"15","BETPAP","BETPAP_G03","9","A",1,18,17,0.944444444444444
"BETPAP_G04_1",124,"10",136,"13","BETPAP","BETPAP_G04","1","A",0,16,15,0.9375
"BETPAP_G04_10",130,"14",136,"15","BETPAP","BETPAP_G04","10","A",1,16,15,0.9375
"BETPAP_G04_11",126,"15",126,"15","BETPAP","BETPAP_G04","11","A",1,16,15,0.9375
"BETPAP_G04_12",126,"14",130,"15","BETPAP","BETPAP_G04","12","A",1,16,15,0.9375
"BETPAP_G04_13",124,"11",126,"15","BETPAP","BETPAP_G04","13","A",1,16,15,0.9375
"BETPAP_G04_14",124,"11",126,"15","BETPAP","BETPAP_G04","14","A",1,16,15,0.9375
"BETPAP_G04_15",124,"10",126,"15","BETPAP","BETPAP_G04","15","A",1,16,15,0.9375
"BETPAP_G04_16",126,"14",130,"15","BETPAP","BETPAP_G04","16","A",1,16,15,0.9375
"BETPAP_G04_2",130,"9",136,"15","BETPAP","BETPAP_G04","2","A",1,16,15,0.9375
"BETPAP_G04_20",124,"15",124,"15","BETPAP","BETPAP_G04","20","A",1,16,15,0.9375
"BETPAP_G04_21",124,"15",124,"15","BETPAP","BETPAP_G04","21","A",1,16,15,0.9375
"BETPAP_G04_3",124,"10",126,"15","BETPAP","BETPAP_G04","3","A",1,16,15,0.9375
"BETPAP_G04_4",130,"9",130,"9","BETPAP","BETPAP_G04","4","A",1,16,15,0.9375
"BETPAP_G04_6",124,"11",126,"15","BETPAP","BETPAP_G04","6","A",1,16,15,0.9375
"BETPAP_G04_8",130,"9",136,"15","BETPAP","BETPAP_G04","8","A",1,16,15,0.9375
"BETPAP_G04_9",130,"15",130,"15","BETPAP","BETPAP_G04","9","A",1,16,15,0.9375
"BETPAP_G05_1",93,"9",109,"15","BETPAP","BETPAP_G05","1","A",1,19,17,0.894736842105263
"BETPAP_G05_10",112,"11",115,"15","BETPAP","BETPAP_G05","10","A",1,19,17,0.894736842105263
"BETPAP_G05_11",112,"14",115,"15","BETPAP","BETPAP_G05","11","A",1,19,17,0.894736842105263
"BETPAP_G05_12",105,"10",109,"15","BETPAP","BETPAP_G05","12","A",1,19,17,0.894736842105263
"BETPAP_G05_13",112,"13",115,"15","BETPAP","BETPAP_G05","13","A",1,19,17,0.894736842105263
"BETPAP_G05_15",105,"15",105,"15","BETPAP","BETPAP_G05","15","A",1,19,17,0.894736842105263
"BETPAP_G05_16",105,"15",105,"15","BETPAP","BETPAP_G05","16","A",1,19,17,0.894736842105263
"BETPAP_G05_18",109,"15",109,"15","BETPAP","BETPAP_G05","18","A",1,19,17,0.894736842105263
"BETPAP_G05_19",115,"13",126,"13","BETPAP","BETPAP_G05","19","A",0,19,17,0.894736842105263
"BETPAP_G05_2",93,"9",112,"15","BETPAP","BETPAP_G05","2","A",1,19,17,0.894736842105263
"BETPAP_G05_20",115,"13",126,"13","BETPAP","BETPAP_G05","20","A",0,19,17,0.894736842105263
"BETPAP_G05_21",109,"13",112,"15","BETPAP","BETPAP_G05","21","A",1,19,17,0.894736842105263
"BETPAP_G05_22",112,"10",115,"15","BETPAP","BETPAP_G05","22","A",1,19,17,0.894736842105263
"BETPAP_G05_3",93,"9",112,"15","BETPAP","BETPAP_G05","3","A",1,19,17,0.894736842105263
"BETPAP_G05_4",93,"9",109,"15","BETPAP","BETPAP_G05","4","A",1,19,17,0.894736842105263
"BETPAP_G05_5",109,"10",112,"15","BETPAP","BETPAP_G05","5","A",1,19,17,0.894736842105263
"BETPAP_G05_6",124,"9",126,"9","BETPAP","BETPAP_G05","6","A",1,19,17,0.894736842105263
"BETPAP_G05_7",112,"14",115,"15","BETPAP","BETPAP_G05","7","A",1,19,17,0.894736842105263
"BETPAP_G05_8",109,"9",112,"15","BETPAP","BETPAP_G05","8","A",1,19,17,0.894736842105263
"BETPAP_G06_1",35,"9",52,"15","BETPAP","BETPAP_G06","1","A",1,20,16,0.8
"BETPAP_G06_10",38,"15",38,"15","BETPAP","BETPAP_G06","10","A",1,20,16,0.8
"BETPAP_G06_11",38,"10",43,"15","BETPAP","BETPAP_G06","11","A",1,20,16,0.8
"BETPAP_G06_12",38,"9",47,"15","BETPAP","BETPAP_G06","12","A",1,20,16,0.8
"BETPAP_G06_13",38,"9",50,"15","BETPAP","BETPAP_G06","13","A",1,20,16,0.8
"BETPAP_G06_14",38,"10",50,"15","BETPAP","BETPAP_G06","14","A",1,20,16,0.8
"BETPAP_G06_15",38,"9",50,"15","BETPAP","BETPAP_G06","15","A",1,20,16,0.8
"BETPAP_G06_16",40,"9",50,"9","BETPAP","BETPAP_G06","16","A",1,20,16,0.8
"BETPAP_G06_17",38,"10",50,"15","BETPAP","BETPAP_G06","17","A",1,20,16,0.8
"BETPAP_G06_18",35,"9",50,"15","BETPAP","BETPAP_G06","18","A",1,20,16,0.8
"BETPAP_G06_19",35,"9",47,"15","BETPAP","BETPAP_G06","19","A",1,20,16,0.8
"BETPAP_G06_2",35,"9",50,"15","BETPAP","BETPAP_G06","2","A",1,20,16,0.8
"BETPAP_G06_20",35,"9",50,"15","BETPAP","BETPAP_G06","20","A",1,20,16,0.8
"BETPAP_G06_3",35,"9",50,"11","BETPAP","BETPAP_G06","3","A",0,20,16,0.8
"BETPAP_G06_4",35,"9",50,"15","BETPAP","BETPAP_G06","4","A",1,20,16,0.8
"BETPAP_G06_5",38,"9",50,"14","BETPAP","BETPAP_G06","5","A",0,20,16,0.8
"BETPAP_G06_6",38,"9",50,"13","BETPAP","BETPAP_G06","6","A",0,20,16,0.8
"BETPAP_G06_7",38,"9",50,"10","BETPAP","BETPAP_G06","7","A",0,20,16,0.8
"BETPAP_G06_8",38,"14",40,"15","BETPAP","BETPAP_G06","8","A",1,20,16,0.8
"BETPAP_G06_9",38,"15",38,"15","BETPAP","BETPAP_G06","9","A",1,20,16,0.8
"BETPAP_G07_1",83,"11",88,"15","BETPAP","BETPAP_G07","1","A",1,15,9,0.6
"BETPAP_G07_10",88,"9",88,"9","BETPAP","BETPAP_G07","10","A",1,15,9,0.6
"BETPAP_G07_11",80,"9",88,"15","BETPAP","BETPAP_G07","11","A",1,15,9,0.6
"BETPAP_G07_12",60,"9",88,"15","BETPAP","BETPAP_G07","12","A",1,15,9,0.6
"BETPAP_G07_13",73,"9",88,"15","BETPAP","BETPAP_G07","13","A",1,15,9,0.6
"BETPAP_G07_14",52,"9",83,"15","BETPAP","BETPAP_G07","14","A",1,15,9,0.6
"BETPAP_G07_15",56,"9",88,"15","BETPAP","BETPAP_G07","15","A",1,15,9,0.6
"BETPAP_G07_16",50,"10",56,"15","BETPAP","BETPAP_G07","16","A",1,15,9,0.6
"BETPAP_G07_17",50,"10",60,"15","BETPAP","BETPAP_G07","17","A",1,15,9,0.6
"BETPAP_G07_2",88,"10",88,"10","BETPAP","BETPAP_G07","2","A",0,15,9,0.6
"BETPAP_G07_5",88,"11",88,"11","BETPAP","BETPAP_G07","5","A",0,15,9,0.6
"BETPAP_G07_6",88,"12",88,"12","BETPAP","BETPAP_G07","6","A",0,15,9,0.6
"BETPAP_G07_7",88,"11",88,"11","BETPAP","BETPAP_G07","7","A",0,15,9,0.6
"BETPAP_G07_8",88,"13",88,"13","BETPAP","BETPAP_G07","8","A",0,15,9,0.6
"BETPAP_G07_9",88,"13",88,"13","BETPAP","BETPAP_G07","9","A",0,15,9,0.6
"BETPAP_G08_1",14,"10",24,"15","BETPAP","BETPAP_G08","1","B",1,9,8,0.888888888888889
"BETPAP_G08_2",14,"9",24,"15","BETPAP","BETPAP_G08","2","B",1,9,8,0.888888888888889
"BETPAP_G08_3",14,"10",24,"15","BETPAP","BETPAP_G08","3","B",1,9,8,0.888888888888889
"BETPAP_G08_4",14,"9",24,"15","BETPAP","BETPAP_G08","4","B",1,9,8,0.888888888888889
"BETPAP_G08_5",14,"9",50,"12","BETPAP","BETPAP_G08","5","B",0,9,8,0.888888888888889
"BETPAP_G08_6",47,"9",50,"9","BETPAP","BETPAP_G08","6","B",1,9,8,0.888888888888889
"BETPAP_G08_7",14,"10",17,"15","BETPAP","BETPAP_G08","7","B",1,9,8,0.888888888888889
"BETPAP_G08_8",14,"15",17,"15","BETPAP","BETPAP_G08","8","B",1,9,8,0.888888888888889
"BETPAP_G08_9",14,"13",17,"15","BETPAP","BETPAP_G08","9","B",1,9,8,0.888888888888889
"BETPAP_G09_1",52,"9",80,"15","BETPAP","BETPAP_G09","1","A",1,14,10,0.714285714285714
"BETPAP_G09_10",83,"10",88,"15","BETPAP","BETPAP_G09","10","A",1,14,10,0.714285714285714
"BETPAP_G09_11",73,"9",83,"15","BETPAP","BETPAP_G09","11","A",1,14,10,0.714285714285714
"BETPAP_G09_12",67,"9",80,"15","BETPAP","BETPAP_G09","12","A",1,14,10,0.714285714285714
"BETPAP_G09_13",73,"9",88,"15","BETPAP","BETPAP_G09","13","A",1,14,10,0.714285714285714
"BETPAP_G09_14",80,"9",80,"9","BETPAP","BETPAP_G09","14","A",1,14,10,0.714285714285714
"BETPAP_G09_2",52,"10",67,"15","BETPAP","BETPAP_G09","2","A",1,14,10,0.714285714285714
"BETPAP_G09_3",52,"9",67,"15","BETPAP","BETPAP_G09","3","A",1,14,10,0.714285714285714
"BETPAP_G09_4",56,"9",69,"15","BETPAP","BETPAP_G09","4","A",1,14,10,0.714285714285714
"BETPAP_G09_5",67,"9",88,"15","BETPAP","BETPAP_G09","5","A",1,14,10,0.714285714285714
"BETPAP_G09_6",67,"9",88,"12","BETPAP","BETPAP_G09","6","A",0,14,10,0.714285714285714
"BETPAP_G09_7",88,"13",88,"13","BETPAP","BETPAP_G09","7","A",0,14,10,0.714285714285714
"BETPAP_G09_8",88,"12",88,"12","BETPAP","BETPAP_G09","8","A",0,14,10,0.714285714285714
"BETPAP_G09_9",88,"13",88,"13","BETPAP","BETPAP_G09","9","A",0,14,10,0.714285714285714
"BETPAP_G10_1",47,"15",80,"15","BETPAP","BETPAP_G10","1","B",1,13,9,0.692307692307692
"BETPAP_G10_10",35,"9",50,"15","BETPAP","BETPAP_G10","10","B",1,13,9,0.692307692307692
"BETPAP_G10_11",67,"9",80,"10","BETPAP","BETPAP_G10","11","B",0,13,9,0.692307692307692
"BETPAP_G10_12",76,"9",80,"10","BETPAP","BETPAP_G10","12","B",0,13,9,0.692307692307692
"BETPAP_G10_13",47,"10",80,"10","BETPAP","BETPAP_G10","13","B",0,13,9,0.692307692307692
"BETPAP_G10_2",47,"9",60,"15","BETPAP","BETPAP_G10","2","B",1,13,9,0.692307692307692
"BETPAP_G10_3",67,"10",76,"15","BETPAP","BETPAP_G10","3","B",1,13,9,0.692307692307692
"BETPAP_G10_4",67,"9",76,"15","BETPAP","BETPAP_G10","4","B",1,13,9,0.692307692307692
"BETPAP_G10_5",62,"9",76,"15","BETPAP","BETPAP_G10","5","B",1,13,9,0.692307692307692
"BETPAP_G10_6",60,"9",76,"15","BETPAP","BETPAP_G10","6","B",1,13,9,0.692307692307692
"BETPAP_G10_7",56,"9",69,"15","BETPAP","BETPAP_G10","7","B",1,13,9,0.692307692307692
"BETPAP_G10_8",60,"9",76,"15","BETPAP","BETPAP_G10","8","B",1,13,9,0.692307692307692
"BETPAP_G10_9",67,"9",76,"14","BETPAP","BETPAP_G10","9","B",0,13,9,0.692307692307692
"BETPAP_G11_1",52,"9",101,"15","BETPAP","BETPAP_G11","1","B",1,24,18,0.75
"BETPAP_G11_10",93,"15",93,"15","BETPAP","BETPAP_G11","10","B",1,24,18,0.75
"BETPAP_G11_11",93,"15",93,"15","BETPAP","BETPAP_G11","11","B",1,24,18,0.75
"BETPAP_G11_12",80,"9",88,"15","BETPAP","BETPAP_G11","12","B",1,24,18,0.75
"BETPAP_G11_13",73,"10",80,"15","BETPAP","BETPAP_G11","13","B",1,24,18,0.75
"BETPAP_G11_14",88,"13",93,"15","BETPAP","BETPAP_G11","14","B",1,24,18,0.75
"BETPAP_G11_15",93,"15",93,"15","BETPAP","BETPAP_G11","15","B",1,24,18,0.75
"BETPAP_G11_16",93,"15",93,"15","BETPAP","BETPAP_G11","16","B",1,24,18,0.75
"BETPAP_G11_17",38,"10",93,"0","BETPAP","BETPAP_G11","17","B",0,24,18,0.75
"BETPAP_G11_18",47,"9",93,"0","BETPAP","BETPAP_G11","18","B",0,24,18,0.75
"BETPAP_G11_2",93,"13",101,"15","BETPAP","BETPAP_G11","2","B",1,24,18,0.75
"BETPAP_G11_22",50,"9",80,"15","BETPAP","BETPAP_G11","22","B",1,24,18,0.75
"BETPAP_G11_23",76,"9",83,"15","BETPAP","BETPAP_G11","23","B",1,24,18,0.75
"BETPAP_G11_24",52,"9",80,"15","BETPAP","BETPAP_G11","24","B",1,24,18,0.75
"BETPAP_G11_25",93,"15",93,"15","BETPAP","BETPAP_G11","25","B",1,24,18,0.75
"BETPAP_G11_26",93,"15",93,"15","BETPAP","BETPAP_G11","26","B",1,24,18,0.75
"BETPAP_G11_27",93,"10",93,"10","BETPAP","BETPAP_G11","27","B",0,24,18,0.75
"BETPAP_G11_3",93,"15",93,"15","BETPAP","BETPAP_G11","3","B",1,24,18,0.75
"BETPAP_G11_4",93,"15",93,"15","BETPAP","BETPAP_G11","4","B",1,24,18,0.75
"BETPAP_G11_5",93,"14",101,"15","BETPAP","BETPAP_G11","5","B",1,24,18,0.75
"BETPAP_G11_6",80,"9",93,"0","BETPAP","BETPAP_G11","6","B",0,24,18,0.75
"BETPAP_G11_7",73,"11",93,"0","BETPAP","BETPAP_G11","7","B",0,24,18,0.75
"BETPAP_G11_8",88,"0",93,"15","BETPAP","BETPAP_G11","8","B",1,24,18,0.75
"BETPAP_G11_9",76,"9",93,"0","BETPAP","BETPAP_G11","9","B",0,24,18,0.75
"BETPAP_G12_1",38,"9",50,"15","BETPAP","BETPAP_G12","1","B",1,17,15,0.882352941176471
"BETPAP_G12_10",35,"10",43,"15","BETPAP","BETPAP_G12","10","B",1,17,15,0.882352941176471
"BETPAP_G12_11",35,"11",38,"15","BETPAP","BETPAP_G12","11","B",1,17,15,0.882352941176471
"BETPAP_G12_12",47,"11",52,"15","BETPAP","BETPAP_G12","12","B",1,17,15,0.882352941176471
"BETPAP_G12_14",80,"10",80,"10","BETPAP","BETPAP_G12","14","B",0,17,15,0.882352941176471
"BETPAP_G12_16",73,"9",80,"15","BETPAP","BETPAP_G12","16","B",1,17,15,0.882352941176471
"BETPAP_G12_17",73,"9",80,"15","BETPAP","BETPAP_G12","17","B",1,17,15,0.882352941176471
"BETPAP_G12_18",80,"15",80,"15","BETPAP","BETPAP_G12","18","B",1,17,15,0.882352941176471
"BETPAP_G12_19",73,"14",76,"15","BETPAP","BETPAP_G12","19","B",1,17,15,0.882352941176471
"BETPAP_G12_2",50,"9",56,"15","BETPAP","BETPAP_G12","2","B",1,17,15,0.882352941176471
"BETPAP_G12_3",50,"9",62,"15","BETPAP","BETPAP_G12","3","B",1,17,15,0.882352941176471
"BETPAP_G12_4",62,"9",73,"15","BETPAP","BETPAP_G12","4","B",1,17,15,0.882352941176471
"BETPAP_G12_5",52,"9",67,"15","BETPAP","BETPAP_G12","5","B",1,17,15,0.882352941176471
"BETPAP_G12_6",67,"9",76,"15","BETPAP","BETPAP_G12","6","B",1,17,15,0.882352941176471
"BETPAP_G12_7",67,"9",80,"10","BETPAP","BETPAP_G12","7","B",0,17,15,0.882352941176471
"BETPAP_G12_8",47,"11",52,"15","BETPAP","BETPAP_G12","8","B",1,17,15,0.882352941176471
